,Fecha,Estado,Enunciado
173,19-12-23,None,correos de chile - paquete no entregado
174,19-12-23,None,correos de chile - no entregan encomiendas
175,19-12-23,None,correos de chile - paquete en internacion no muestra avance en entrega
176,18-12-23,no resuelto,correos de chile - paquete en internacion no muestra avance en entrega
177,18-12-23,None,correos de chile - abuso sexual a mi esposa por un cartero de correos de chile
178,18-12-23,no resuelto,correos de chile - excesivo tiempo de pedido en internacion
179,18-12-23,no resuelto,correos de chile - me roban los pedidos
180,18-12-23,no resuelto,a correos de chile - el paquete no llegó en la fecha programada
181,17-12-23,resuelto,correos de chile - mi pedido/paquete lleva en tránsito ya casi el mes
182,17-12-23,resuelto,correos de chile - estabcamiento de pedido
183,16-12-23,None,correos de chile - paquete estancado arrived at linehual office
184,15-12-23,None,correos de chile - el número de seguimiento no me aparece
185,15-12-23,resuelto,coreos de chile - devuelven paquete y no haran la entrega
186,15-12-23,None,correos de chile - cartero no entrega en mi domicilio
187,15-12-23,None,correos de chile - no eh recibido mi paquete y aparece entregado
188,15-12-23,no resuelto,correos de chile - transito de paquetes
189,14-12-23,resuelto,correos de chile - paquete estancado
190,14-12-23,no resuelto,correos de chile - paquete detenido en planta desde hace 20 dias
191,13-12-23,no resuelto,correos de chile - pedido no llega
192,12-12-23,None,correos de chile - hurto de paquete
193,12-12-23,resuelto,correos de chile - no entregan mi paquete
194,12-12-23,None,"correos de chile - mi paquete de usps llegó a chile el 4 de diciembre, pero aún no entregan"
195,12-12-23,None,correos de chile - no se mueve mi paquete que esta en transito
196,12-12-23,None,correos de chile - pedidos en estado linehual
197,11-12-23,no resuelto,correos de chile - envío internacional recibido hace 1 mes por correos de chile
198,11-12-23,no resuelto,correos de chile - envio internacional con mas de un mes de atraso
199,11-12-23,None,correos de chile - no responden por encomienda
200,11-12-23,no resuelto,correos de chile - paquete en internacion desde hace un mes
201,10-12-23,no resuelto,correo chile.com - cerraron las cuemtas sin poder recuperar archivos
202,09-12-23,resuelto,correos de chile - paquete en aeropuerto
203,09-12-23,no resuelto,correos de chile - proceso de internación
204,08-12-23,no resuelto,correos de chile - pedido estancado arrived at linehaul office
205,07-12-23,None,correos de chile - demora en entregas de compras internacionales
206,06-12-23,resuelto,correos de chile - retraso en entrega
207,06-12-23,None,correos de chile - cobros suc virtual
208,06-12-23,None,"correos de chile - demora excesiva internación reclamos sin resultados, mismas respuestas"
209,06-12-23,no resuelto,correos de chile - paquete no entregado
210,06-12-23,None,correos de chile - paquete no entregado
211,05-12-23,no resuelto,correos de chile - excesiva demora en internación. + de 75 dias
212,05-12-23,None,correos de chile - demora de mi pedido por más de 2 meses y nadie me ayuda
213,05-12-23,no resuelto,correos de chile - demora en proceso de entrega de pedido
214,05-12-23,None,correos de chile - paquete sin movimiento
215,04-12-23,resuelto,correos de chile - paquete en internacion
216,04-12-23,no resuelto,correos de chile - pedido no llega
217,04-12-23,no resuelto,correos de chile - retraso y perdida
218,04-12-23,resuelto,correos de chile - demora en respuesta a mis documentos
219,03-12-23,no resuelto,correos de chile - pedido en internación por 26 días
220,02-12-23,None,correos de chile - encomienda estancada
221,01-12-23,no resuelto,correos de chile - no entregan mi pedido
222,01-12-23,no resuelto,correos de chile - no entrega de mi envio
223,01-12-23,no resuelto,correos de chile - atraso en la entrega de paquetes
224,30-11-23,no resuelto,correos de chile - no entrega de correo internacional
225,30-11-23,no resuelto,correos de chile - paquete en internacion
226,29-11-23,None,coreos de chile - demora en entrega producto
227,29-11-23,no resuelto,correos de chile - periodos extensos en la entrega de paquete
228,28-11-23,no resuelto,correos de chile - no entrega de envío internacional
229,28-11-23,no resuelto,correos de chile - logística por demora de entrega
230,28-11-23,resuelto,correos de chile - no entrega de paquete y falta de informacion desde servicio al cliente via messenger facebook
231,28-11-23,no resuelto,correos de chile - proceso de internación
232,27-11-23,no resuelto,correos de chile - paquete en pausa
233,27-11-23,None,correos de chile - cajas estancadas en internación
234,26-11-23,None,correos de chile - envío internacional devolución amazon
235,25-11-23,no resuelto,correos de chile - retraso con la entrega de mi paquete internacional
236,25-11-23,None,correos de chile - tardanza en la entrega de mi pedido
237,25-11-23,no resuelto,correos de chile - envíos llegan a chile y no son recepcionados aún
238,24-11-23,no resuelto,correos de chile - no entrega del paquete
239,23-11-23,None,correos de chile - bloqueo
240,23-11-23,None,correos de chile - demora internacion
241,23-11-23,None,correos de chile - pedido en internación por 2 meses
242,22-11-23,None,correos de chile - paquete retenido
243,21-11-23,no resuelto,correos de chile - pedidos no entregados y sin informacion.
244,21-11-23,None,correos de chile - pedido con entrega falida
245,20-11-23,no resuelto,correos de chile - paquetes que aun no llegan a la oficina de correos de chile
246,20-11-23,None,correos de chile - proceso de papeles en internacion
247,20-11-23,no resuelto,casilla internacional correos de chile - destrucción arbitraria de pedido internacional
248,18-11-23,no resuelto,correos de chile - perdida de paquete internacional
249,17-11-23,None,correos de chile - mi paquete lleva en la oficina desde el 22 de septiembre y nunca llego a mis manos
250,17-11-23,None,correos de chile - incumplimiento
251,16-11-23,no resuelto,señores correos de chile presente - paquete sin entregar
252,16-11-23,None,correos de chile - el paquete no llego
253,16-11-23,no resuelto,correos de chile - estancando en internacion
254,16-11-23,no resuelto,correos de chile - no entrega de envío internacional
255,16-11-23,no resuelto,correos de chile - tiempo de internacion
256,15-11-23,no resuelto,correos de chile - demora en entrega paquete shein
257,15-11-23,None,correos de chile - paquete se informa extraviado
258,15-11-23,no resuelto,correos de chile - demasiado tiempo en internacion
259,14-11-23,no resuelto,correos de chile y aduana - paquete con retraso en envio por mas de 1 mes
260,14-11-23,None,"correos de chile - pedido estancado en ""arrived at linehaul office"""
261,13-11-23,no resuelto,correos de chile - envío retenido
262,13-11-23,resuelto,correos de chile - producto pedido desde china y enviado a yanwen
263,10-11-23,None,correos de chile - cobros suc virtual
264,09-11-23,None,correos de chile - encomienda sin entragar y llego al pais 24 09 23
265,08-11-23,no resuelto,correos de chile - entrega en domicilio equivocado
266,08-11-23,resuelto,correos de chile - no hay intento de comunicación
267,07-11-23,None,correos de chile - ineficientes en su trabajo
268,07-11-23,None,correos de chile - paquetes con mas de un mes de demora en entrega
269,07-11-23,None,correos de chile - 40 días en internación
270,06-11-23,resuelto,correos de chile - un mes en internacion
271,06-11-23,None,correos de chile - pedido retenido en internación
272,06-11-23,None,correos de chile - pedido en transito
273,05-11-23,resuelto,correos de chile - envio internacional
274,04-11-23,no resuelto,corres de chile - excesivo tiempo en internacion
275,03-11-23,resuelto,correos de chile - paquete sigue en internación aun habiendo pasado aduanas
276,03-11-23,resuelto,correos de chile - tardanza en entrega de paquete.
277,03-11-23,no resuelto,correos de chile - no entrega de paquete
278,02-11-23,None,correos de chile - mi pedido no ha sido entregado
279,02-11-23,None,correos de chile - paquete en proceso de internación por más de 2 meses
280,02-11-23,resuelto,correos de chile - demora proceso de internacion
281,01-11-23,resuelto,correos de chile - correos de chile proceso de internacion eterno
282,31-10-23,resuelto,correos de chile - soluciones no claras.
283,31-10-23,None,correos de chile - demora en internación
284,31-10-23,no resuelto,correos de chile - no entrega de envío internacional
285,31-10-23,None,correos de chile - ausencia de gestión y solución
286,30-10-23,no resuelto,correos de chile - paquete internacional no llega
287,30-10-23,no resuelto,correos de chile - devolución de paquete al remitente
288,30-10-23,resuelto,correos de chile - paquete lleva más de un mes y aun no ha sido entregado
289,30-10-23,None,correos de chile - demora en internacíon
290,30-10-23,no resuelto,correos de chile - robo
291,29-10-23,resuelto,correos de chile - paquete internacional no lo entregan ni dan información clara
292,29-10-23,None,correos de chile - encomienda en internación por más de dos meses
293,28-10-23,resuelto,correos de chile - paquete en aduana por más de dos semanas
294,27-10-23,None,correos de chile - no entrega de envíos / entregado con timbre
295,26-10-23,no resuelto,correos de chile - demora en actualización de estado
296,26-10-23,None,correos de chile - paquete retenido
297,25-10-23,None,correos de chile - paquete dice entregado y yo no recibí
298,25-10-23,None,correos de chile - demora en entrega
299,25-10-23,no resuelto,correos de chile - paquete en internacion
300,24-10-23,None,correos de chile - paquetes retenidos sin entrega
301,24-10-23,no resuelto,correos de chile - retraso en entrega.
302,23-10-23,no resuelto,correos de chile - no entrega de envio
303,23-10-23,None,correos de chile - cobro excesivo de correspondencia
304,23-10-23,no resuelto,correos de chile - paquete con más de un mes en internación
305,23-10-23,no resuelto,correos de chile - envio en internacion
306,22-10-23,no resuelto,correos de chile - retención de mercancía más de 40 días
307,20-10-23,no resuelto,correos de chile - paquete en internación desde hace dos semanas
308,20-10-23,None,correos de chile - extensa espera en internación.
309,19-10-23,no resuelto,"correos de chile - tiempo demora internación , sin avances"
310,18-10-23,None,correos de chile - orden en internacion
311,18-10-23,no resuelto,correos de chile - demora entrega internacional
312,17-10-23,no resuelto,correos de chile - paquete en internación desde julio
313,17-10-23,resuelto,"correos de chile - desde el 6 de septiembre tengo una caja desde italia en internacion y no me dan una respuesta concreta, solo"
314,17-10-23,no resuelto,correos de chile - pedido estancado
315,16-10-23,no resuelto,correos de chile - envio en el mismo estado desde hace casi 2 meses
316,16-10-23,None,correos de chile - entregado pero no recibido
